episode,reward
0,-44
1,-42
2,-108
3,-70
4,-44
5,-42
6,-60
7,-32
8,-168
9,-150
10,-18
11,-110
12,-246
13,-236
14,-16
15,-118
16,-344
17,-110
18,-196
19,-16
20,-32
21,-40
22,-138
23,-16
24,-44
25,-52
26,-24
27,-40
28,-72
29,-16
30,-120
31,-42
32,-54
33,-60
34,-70
35,-246
36,-36
37,-84
38,-34
39,-40
40,-30
41,-32
42,-84
43,-14
44,-64
45,-32
46,-88
47,-90
48,-24
49,-72
50,-178
51,-12
52,-150
53,-72
54,-12
55,-32
56,-32
57,-14
58,-70
59,-62
60,-22
61,-32
62,-42
63,-32
64,-32
65,-60
66,-44
67,-44
68,-72
69,-60
70,-34
71,-52
72,-16
73,-80
74,-90
75,-20
76,-32
77,-44
78,-92
79,-42
80,-532
81,-148
82,-22
83,-40
84,-52
85,-50
86,-158
87,-40
88,-16
89,-12
90,-22
91,-42
92,-34
93,-14
94,-22
95,-122
96,-22
97,-414
98,-32
99,-50
100,-62
101,-42
102,-32
103,-42
104,-32
105,-32
106,-60
107,-24
108,-32
109,-52
110,-14
111,-52
112,-34
113,-62
114,-32
115,-62
116,-22
117,-32
118,-42
119,-14
120,-22
121,-14
122,-42
123,-14
124,-22
125,-50
126,-52
127,-228
128,-34
129,-22
130,-32
131,-22
132,-34
133,-12
134,-32
135,-50
136,-22
137,-16
138,-24
139,-24
140,-70
141,-14
142,-22
143,-22
144,-22
145,-42
146,-40
147,-34
148,-12
149,-14
150,-32
151,-120
152,-102
153,-52
154,-40
155,-34
156,-14
157,-16
158,-22
159,-44
160,-100
161,-44
162,-24
163,-22
164,-120
165,-32
166,-42
167,-14
168,-14
169,-24
170,-14
171,-32
172,-72
173,-32
174,-34
175,-228
176,-22
177,-14
178,-12
179,-14
180,-12
181,-32
182,-92
183,-24
184,-22
185,-14
186,-32
187,-12
188,-90
189,-22
190,-32
191,-36
192,-42
193,-52
194,-14
195,-42
196,-168
197,-40
198,-32
199,-22
200,-14
201,-62
202,-12
203,-24
204,-40
205,-24
206,-14
207,-24
208,-32
209,-26
210,-14
211,-60
212,-14
213,-40
214,-14
215,-24
216,-52
217,-12
218,-12
219,-26
220,-14
221,-12
222,-22
223,-14
224,-14
225,-32
226,-22
227,-12
228,-12
229,-14
230,-42
231,-42
232,-22
233,-12
234,-22
235,-16
236,-32
237,-14
238,-12
239,-14
240,-12
241,-42
242,-34
243,-22
244,-34
245,-12
246,-32
247,-12
248,-12
249,-18
250,-32
251,-22
252,-42
253,-14
254,-14
255,-12
256,-22
257,-12
258,-14
259,-22
260,-30
261,-14
262,-12
263,-24
264,-52
265,-22
266,-16
267,-22
268,-24
269,-24
270,-52
271,-52
272,-42
273,-12
274,-14
275,-14
276,-62
277,-12
278,-12
279,-14
280,-22
281,-24
282,-14
283,-12
284,-32
285,-32
286,-12
287,-16
288,-20
289,-40
290,-22
291,-14
292,-12
293,-22
294,-32
295,-14
296,-16
297,-14
298,-40
299,-12
